signal_id,signal_name,customer_id,detected_date,evidence_metric_1,evidence_metric_2,segment,behavioral_state,signal_strength,explanation,signal_limitation
28,POSITIVE_MOMENTUM,12403,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
29,POSITIVE_MOMENTUM,12406,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
30,HIGH_VALUE_SOFTENING,12408,2011-12-31,"Historical Value: 4,340.77 (>= P80: 2,910.08)",Value Momentum: -41.8% (<= -25.0%),High-Value Stable,ENGAGED,Medium,"Customer is in the top spend quintile (spend 4,340.77) but experienced a -41.8% contraction in recent 90-day spend.",Contraction could be caused by lumpy wholesale purchase cycles.
31,BROAD_ENGAGEMENT_SOFTENING,12408,2011-12-31,Catalog Breadth: 104 SKUs (>= P70: 85),Frequency Momentum: -50.0% (<= -25.0%),High-Value Stable,ENGAGED,High,Customer historically active across broad catalog (104 SKUs) shows declining order cadence (-50.0% recent order momentum).,May reflect consolidated bulk shipments rather than loss of underlying SKU demand.
32,POSITIVE_MOMENTUM,12409,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),High-Value Stable,SOFTENING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
33,POSITIVE_MOMENTUM,12413,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
34,HIGH_VALUE_SOFTENING,12415,2011-12-31,"Historical Value: 144,458.37 (>= P80: 2,910.08)",Value Momentum: -55.4% (<= -25.0%),High-Value Stable,ENGAGED,High,"Customer is in the top spend quintile (spend 144,458.37) but experienced a -55.4% contraction in recent 90-day spend.",Contraction could be caused by lumpy wholesale purchase cycles.
35,BROAD_ENGAGEMENT_SOFTENING,12415,2011-12-31,Catalog Breadth: 498 SKUs (>= P70: 85),Frequency Momentum: -25.0% (<= -25.0%),High-Value Stable,ENGAGED,Low,Customer historically active across broad catalog (498 SKUs) shows declining order cadence (-25.0% recent order momentum).,May reflect consolidated bulk shipments rather than loss of underlying SKU demand.
36,BROAD_ENGAGEMENT_SOFTENING,12418,2011-12-31,Catalog Breadth: 90 SKUs (>= P70: 85),Frequency Momentum: -100.0% (<= -25.0%),Low-Activity / Long-Recency,DORMANT,High,Customer historically active across broad catalog (90 SKUs) shows declining order cadence (-100.0% recent order momentum).,May reflect consolidated bulk shipments rather than loss of underlying SKU demand.
37,EMERGING_BROADENING,12420,2011-12-31,State: EMERGING (Tenure: 63 days),Breadth Growth: +100.0% unique SKUs,Unsegmented (Insufficient History),EMERGING,High,Recently acquired customer is expanding across product categories (+100.0% breadth in recent window).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Early purchasing breadth may reflect initial sample exploration rather than recurring catalog demand.
38,POSITIVE_MOMENTUM,12420,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),EMERGING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
39,HIGH_VALUE_SOFTENING,12422,2011-12-31,"Historical Value: 5,231.80 (>= P80: 2,910.08)",Value Momentum: -100.0% (<= -25.0%),High-Value Stable,SOFTENING,High,"Customer is in the top spend quintile (spend 5,231.80) but experienced a -100.0% contraction in recent 90-day spend.",Elevated customer reversal/return rate (>10% of total spend). | Contraction could be caused by lumpy wholesale purchase cycles.
40,BROAD_ENGAGEMENT_SOFTENING,12422,2011-12-31,Catalog Breadth: 137 SKUs (>= P70: 85),Frequency Momentum: -100.0% (<= -25.0%),High-Value Stable,SOFTENING,High,Customer historically active across broad catalog (137 SKUs) shows declining order cadence (-100.0% recent order momentum).,Elevated customer reversal/return rate (>10% of total spend). | May reflect consolidated bulk shipments rather than loss of underlying SKU demand.
41,HIGH_VALUE_SOFTENING,12424,2011-12-31,"Historical Value: 3,340.03 (>= P80: 2,910.08)",Value Momentum: -100.0% (<= -25.0%),Low-Activity / Long-Recency,DORMANT,High,"Customer is in the top spend quintile (spend 3,340.03) but experienced a -100.0% contraction in recent 90-day spend.",Contraction could be caused by lumpy wholesale purchase cycles.
42,HISTORICAL_VALUE_DORMANT,12424,2011-12-31,"Historical Value: 3,340.03 (>= P80: 2,910.08)",Inactivity: 162 days since last purchase (> 120d),Low-Activity / Long-Recency,DORMANT,Low,"Tier-1 historical customer (3,340.03 total spend) has lapsed into dormancy with 162 days of elapsed inactivity.",Wholesaler may have discontinued lines or shifted supplier accounts entirely.
43,POSITIVE_MOMENTUM,12425,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,SOFTENING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
44,POSITIVE_MOMENTUM,12427,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Elevated customer reversal/return rate (>10% of total spend). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
45,HIGH_VALUE_SOFTENING,12428,2011-12-31,"Historical Value: 7,956.46 (>= P80: 2,910.08)",Value Momentum: -67.0% (<= -25.0%),High-Value Stable,SOFTENING,High,"Customer is in the top spend quintile (spend 7,956.46) but experienced a -67.0% contraction in recent 90-day spend.",Contraction could be caused by lumpy wholesale purchase cycles.
46,BROAD_ENGAGEMENT_SOFTENING,12428,2011-12-31,Catalog Breadth: 258 SKUs (>= P70: 85),Frequency Momentum: -50.0% (<= -25.0%),High-Value Stable,SOFTENING,High,Customer historically active across broad catalog (258 SKUs) shows declining order cadence (-50.0% recent order momentum).,May reflect consolidated bulk shipments rather than loss of underlying SKU demand.
47,EMERGING_BROADENING,12430,2011-12-31,State: EMERGING (Tenure: 43 days),Breadth Growth: +100.0% unique SKUs,Unsegmented (Insufficient History),EMERGING,High,Recently acquired customer is expanding across product categories (+100.0% breadth in recent window).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Early purchasing breadth may reflect initial sample exploration rather than recurring catalog demand.
48,POSITIVE_MOMENTUM,12430,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),EMERGING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
49,HIGH_VALUE_SOFTENING,12432,2011-12-31,"Historical Value: 5,059.32 (>= P80: 2,910.08)",Value Momentum: -74.0% (<= -25.0%),High-Value Stable,ENGAGED,High,"Customer is in the top spend quintile (spend 5,059.32) but experienced a -74.0% contraction in recent 90-day spend.",Contraction could be caused by lumpy wholesale purchase cycles.
50,BROAD_ENGAGEMENT_SOFTENING,12432,2011-12-31,Catalog Breadth: 107 SKUs (>= P70: 85),Frequency Momentum: -33.3% (<= -25.0%),High-Value Stable,ENGAGED,Low,Customer historically active across broad catalog (107 SKUs) shows declining order cadence (-33.3% recent order momentum).,May reflect consolidated bulk shipments rather than loss of underlying SKU demand.
51,POSITIVE_MOMENTUM,12433,2011-12-31,Spend Momentum: +167.7% (>= +25.0%),Order Momentum: +300.0% (>= +25.0%),High-Value Stable,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+167.7%) and order volume (+300.0%).,Short-term seasonal order spikes can temporarily inflate momentum percentages.
52,POSITIVE_MOMENTUM,12434,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,SOFTENING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
53,POSITIVE_MOMENTUM,12435,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),High-Value Stable,SOFTENING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
54,POSITIVE_MOMENTUM,12437,2011-12-31,Spend Momentum: +155.9% (>= +25.0%),Order Momentum: +133.3% (>= +25.0%),High-Value Stable,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+155.9%) and order volume (+133.3%).,Short-term seasonal order spikes can temporarily inflate momentum percentages.
55,EMERGING_BROADENING,12442,2011-12-31,State: EMERGING (Tenure: 3 days),Breadth Growth: +100.0% unique SKUs,Unsegmented (Insufficient History),EMERGING,High,Recently acquired customer is expanding across product categories (+100.0% breadth in recent window).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Early purchasing breadth may reflect initial sample exploration rather than recurring catalog demand.
56,POSITIVE_MOMENTUM,12442,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),EMERGING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
57,POSITIVE_MOMENTUM,12445,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
58,EMERGING_BROADENING,12446,2011-12-31,State: EMERGING (Tenure: 57 days),Breadth Growth: +100.0% unique SKUs,Unsegmented (Insufficient History),EMERGING,High,Recently acquired customer is expanding across product categories (+100.0% breadth in recent window).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Early purchasing breadth may reflect initial sample exploration rather than recurring catalog demand.
59,POSITIVE_MOMENTUM,12446,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),EMERGING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
60,EMERGING_BROADENING,12448,2011-12-31,State: EMERGING (Tenure: 44 days),Breadth Growth: +100.0% unique SKUs,Unsegmented (Insufficient History),EMERGING,High,Recently acquired customer is expanding across product categories (+100.0% breadth in recent window).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Early purchasing breadth may reflect initial sample exploration rather than recurring catalog demand.
61,POSITIVE_MOMENTUM,12448,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),EMERGING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
62,HIGH_VALUE_SOFTENING,12449,2011-12-31,"Historical Value: 4,835.89 (>= P80: 2,910.08)",Value Momentum: -28.0% (<= -25.0%),High-Value Stable,SOFTENING,Low,"Customer is in the top spend quintile (spend 4,835.89) but experienced a -28.0% contraction in recent 90-day spend.",Contraction could be caused by lumpy wholesale purchase cycles.
63,BROAD_ENGAGEMENT_SOFTENING,12449,2011-12-31,Catalog Breadth: 125 SKUs (>= P70: 85),Frequency Momentum: -50.0% (<= -25.0%),High-Value Stable,SOFTENING,High,Customer historically active across broad catalog (125 SKUs) shows declining order cadence (-50.0% recent order momentum).,May reflect consolidated bulk shipments rather than loss of underlying SKU demand.
64,POSITIVE_MOMENTUM,12451,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),High-Value Stable,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
65,EMERGING_BROADENING,12452,2011-12-31,State: EMERGING (Tenure: 16 days),Breadth Growth: +100.0% unique SKUs,Unsegmented (Insufficient History),EMERGING,High,Recently acquired customer is expanding across product categories (+100.0% breadth in recent window).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Early purchasing breadth may reflect initial sample exploration rather than recurring catalog demand.
66,POSITIVE_MOMENTUM,12452,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Unsegmented (Insufficient History),EMERGING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Customer has insufficient longitudinal history (<2 orders or <90 days tenure). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
67,POSITIVE_MOMENTUM,12454,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Elevated customer reversal/return rate (>10% of total spend). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
68,BROAD_ENGAGEMENT_SOFTENING,12455,2011-12-31,Catalog Breadth: 199 SKUs (>= P70: 85),Frequency Momentum: -50.0% (<= -25.0%),High-Value Stable,SOFTENING,High,Customer historically active across broad catalog (199 SKUs) shows declining order cadence (-50.0% recent order momentum).,May reflect consolidated bulk shipments rather than loss of underlying SKU demand.
69,HIGH_VALUE_SOFTENING,12456,2011-12-31,"Historical Value: 3,181.04 (>= P80: 2,910.08)",Value Momentum: -30.9% (<= -25.0%),Low-Activity / Long-Recency,ENGAGED,Low,"Customer is in the top spend quintile (spend 3,181.04) but experienced a -30.9% contraction in recent 90-day spend.",Contraction could be caused by lumpy wholesale purchase cycles.
70,POSITIVE_MOMENTUM,12457,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,SOFTENING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Elevated customer reversal/return rate (>10% of total spend). | Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
71,POSITIVE_MOMENTUM,12458,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,SOFTENING,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
72,POSITIVE_MOMENTUM,12462,2011-12-31,Spend Momentum: +100.0% (>= +25.0%),Order Momentum: +100.0% (>= +25.0%),Emerging Engagement,ENGAGED,High,Customer shows synchronized double-digit expansion across recent 90d spend (+100.0%) and order volume (+100.0%).,Zero baseline in prior 90-day comparison window. | Short-term seasonal order spikes can temporarily inflate momentum percentages.
73,HIGH_FREQUENCY_LOW_VALUE,12464,2011-12-31,Order Frequency: 8 orders (>= P80: 8),AOV: 151.51 (<= P40: 233.82),Low-Activity / Long-Recency,ENGAGED,Medium,Highly frequent ordering behavior (8 lifetime orders) paired with modest average basket value (151.51).,Fulfillment overhead per order may erode margin without minimum basket thresholds.
74,HISTORICAL_VALUE_DORMANT,12468,2011-12-31,"Historical Value: 3,670.74 (>= P80: 2,910.08)",Inactivity: 187 days since last purchase (> 120d),High-Value Stable,DORMANT,Medium,"Tier-1 historical customer (3,670.74 total spend) has lapsed into dormancy with 187 days of elapsed inactivity.",Zero baseline in prior 90-day comparison window. | Wholesaler may have discontinued lines or shifted supplier accounts entirely.
75,HISTORICAL_VALUE_DORMANT,12469,2011-12-31,"Historical Value: 3,070.54 (>= P80: 2,910.08)",Inactivity: 522 days since last purchase (> 120d),Low-Activity / Long-Recency,DORMANT,High,"Tier-1 historical customer (3,070.54 total spend) has lapsed into dormancy with 522 days of elapsed inactivity.",Zero baseline in prior 90-day comparison window. | Wholesaler may have discontinued lines or shifted supplier accounts entirely.
